"b","dataset","n_models","models","weights","distance_meas","distance_est","var_pred","r2","bias","lower_CI","upper_CI","mae","rmse"
441,"natalia_oliveira_2023",12,"[10] Camarri et al. 2006; [06] Gibbons et al. 2001; [07] Enrigth et al. 2003; [40] Britto et al. 2013; [26] Jenkins et al. 2009; [54] Almeida et al. 2019; [09] Camarri et al. 2006; [32] Soares, Pereira 2011; [18] Iwama et al. 2009; [28] Ben Saad et al. 2009; [58] Delbressine et al. 2023; [04] Troosters, Gosselink & Decramer 1999","-0.1747;-0.355;-0.0684;-0.0936;0.2365;0.2193;0.4016;0.0715;0.3386;0.2809;0.0114;0.1318",677.957894736842,657.655011927617,1391.13267314231,0.290221277069602,-20.3028828092246,-130.004347831545,73.4522814685185,46.8847796493443,58.5465801791655
391,"natalia_oliveira_2023",13,"[10] Camarri et al. 2006; [06] Gibbons et al. 2001; [34] Dourado, Vidotto, Guerra 2011; [28] Ben Saad et al. 2009; [55] Almeida et al. 2019; [45] Kim et al. 2014; [02] Enright & Sherrill 1998; [20] Jenkins et al. 2009; [13] Chetta et al. 2006; [32] Soares, Pereira 2011; [43] Rao et al. 2013; [09] Camarri et al. 2006; [37] Hill et al. 2011","-0.3866;-0.2874;-0.0205;0.4451;0.1898;0.631;0.6204;-0.2224;-0.4541;-0.1125;-0.0152;0.5191;0.0932",675.747368421053,673.468887117224,1741.10965847372,0.335648653931625,-2.27848130382817,-119.275424210826,118.511650282484,47.8093424479197,60.3479414659935
965,"natalia_oliveira_2023",14,"[18] Iwama et al. 2009; [54] Almeida et al. 2019; [13] Chetta et al. 2006; [32] Soares, Pereira 2011; [42] Britto et al. 2013; [02] Enright & Sherrill 1998; [40] Britto et al. 2013; [07] Enrigth et al. 2003; [20] Jenkins et al. 2009; [50] Zou et al. 2017; [09] Camarri et al. 2006; [45] Kim et al. 2014; [47] Nusdwinuringtyas et al, 2014; [34] Dourado, Vidotto, Guerra 2011","-0.4105;-0.0653;-0.4793;-0.3447;0.1742;1.0201;-0.1475;0.0417;-0.0161;-0.4422;0.5329;0.4056;0.6911;0.0402",671.378947368421,669.821342353015,1217.08104823831,0.325492396024694,-1.55760501540608,-125.737877998031,121.324736754937,45.5196656200472,59.9235678042629
217,"natalia_oliveira_2023",15,"[48] Fernandes et al. 2016; [27] Alameri et al. 2009; [02] Enright & Sherrill 1998; [45] Kim et al. 2014; [42] Britto et al. 2013; [10] Camarri et al. 2006; [40] Britto et al. 2013; [43] Rao et al. 2013; [34] Dourado, Vidotto, Guerra 2011; [07] Enrigth et al. 2003; [58] Delbressine et al. 2023; [47] Nusdwinuringtyas et al, 2014; [37] Hill et al. 2011; [32] Soares, Pereira 2011; [54] Almeida et al. 2019","-0.4731;0.7;1.1432;0.2651;0.142;-0.0341;-0.2012;-0.663;0.0253;0.1092;0.0431;0.6781;-0.0319;-0.419;-0.2837",668.684210526316,694.058453668967,971.677294175414,0.219188695026417,25.3742431426512,-92.8040979995471,150.872394194671,51.1708475293863,66.2154495640669
461,"natalia_oliveira_2023",16,"[06] Gibbons et al. 2001; [34] Dourado, Vidotto, Guerra 2011; [43] Rao et al. 2013; [58] Delbressine et al. 2023; [50] Zou et al. 2017; [04] Troosters, Gosselink & Decramer 1999; [40] Britto et al. 2013; [48] Fernandes et al. 2016; [32] Soares, Pereira 2011; [28] Ben Saad et al. 2009; [30] Osses et al. 2010; [55] Almeida et al. 2019; [09] Camarri et al. 2006; [15] Masmoudi et al. 2008; [42] Britto et al. 2013; [27] Alameri et al. 2009","-0.2094;0.177;-0.2626;0.1;-0.3384;0.0828;0.0396;0.1722;-0.0554;0.0832;0.1262;0.1387;0.3502;0.0155;0.3004;0.2801",669.08947368421,662.106041761263,1377.94774639532,0.26328077265448,-6.98343192294802,-115.333477606378,115.998192556673,47.3937882294233,60.3285761679667
473,"natalia_oliveira_2023",17,"[02] Enright & Sherrill 1998; [58] Delbressine et al. 2023; [45] Kim et al. 2014; [34] Dourado, Vidotto, Guerra 2011; [55] Almeida et al. 2019; [07] Enrigth et al. 2003; [10] Camarri et al. 2006; [13] Chetta et al. 2006; [27] Alameri et al. 2009; [04] Troosters, Gosselink & Decramer 1999; [30] Osses et al. 2010; [43] Rao et al. 2013; [48] Fernandes et al. 2016; [42] Britto et al. 2013; [06] Gibbons et al. 2001; [26] Jenkins et al. 2009; [50] Zou et al. 2017","1.0525;-0.1628;0.4286;-0.2998;0.1573;-0.055;0.0036;-0.2506;0.8422;0.4441;-0.3716;-0.4066;-0.1682;0.196;0.1952;-0.2801;-0.3245",675.226315789474,681.918354980179,1176.78334300379,0.305750286724009,6.69203919070555,-96.5986546941791,129.453230037745,45.6012822621427,60.0882398104764
486,"natalia_oliveira_2023",18,"[18] Iwama et al. 2009; [13] Chetta et al. 2006; [26] Jenkins et al. 2009; [55] Almeida et al. 2019; [02] Enright & Sherrill 1998; [47] Nusdwinuringtyas et al, 2014; [10] Camarri et al. 2006; [04] Troosters, Gosselink & Decramer 1999; [34] Dourado, Vidotto, Guerra 2011; [54] Almeida et al. 2019; [20] Jenkins et al. 2009; [40] Britto et al. 2013; [32] Soares, Pereira 2011; [45] Kim et al. 2014; [09] Camarri et al. 2006; [07] Enrigth et al. 2003; [28] Ben Saad et al. 2009; [58] Delbressine et al. 2023","0.2315;-0.6533;0.0679;0.0693;0.7404;0.2794;-0.3251;0.102;0.1751;-0.2004;0.0017;-0.3194;-0.2128;0.4823;0.3772;-0.1425;0.4553;-0.1288",680.973684210526,677.425143818181,1497.04748444152,0.248473244026861,-3.54854039234528,-127.695241974747,114.993155015799,49.8201791303863,64.9537309035164
668,"natalia_oliveira_2023",19,"[32] Soares, Pereira 2011; [34] Dourado, Vidotto, Guerra 2011; [50] Zou et al. 2017; [43] Rao et al. 2013; [27] Alameri et al. 2009; [10] Camarri et al. 2006; [09] Camarri et al. 2006; [37] Hill et al. 2011; [02] Enright & Sherrill 1998; [55] Almeida et al. 2019; [54] Almeida et al. 2019; [45] Kim et al. 2014; [47] Nusdwinuringtyas et al, 2014; [58] Delbressine et al. 2023; [48] Fernandes et al. 2016; [26] Jenkins et al. 2009; [42] Britto et al. 2013; [18] Iwama et al. 2009; [20] Jenkins et al. 2009","-0.3665;0.0099;-0.4428;-0.4989;0.668;-0.214;0.3475;0.1072;1.0474;0.1361;-0.4158;0.2357;0.5891;0.1136;-0.2485;0.0718;0.1174;-0.1849;-0.0723",680.031578947368,679.039887397095,1389.73180743891,0.235136324675691,-0.991691550273484,-104.64085103122,126.852061391822,49.942141401193,65.7841281432961
911,"natalia_oliveira_2023",20,"[26] Jenkins et al. 2009; [50] Zou et al. 2017; [02] Enright & Sherrill 1998; [54] Almeida et al. 2019; [32] Soares, Pereira 2011; [10] Camarri et al. 2006; [18] Iwama et al. 2009; [30] Osses et al. 2010; [15] Masmoudi et al. 2008; [04] Troosters, Gosselink & Decramer 1999; [55] Almeida et al. 2019; [42] Britto et al. 2013; [43] Rao et al. 2013; [34] Dourado, Vidotto, Guerra 2011; [06] Gibbons et al. 2001; [47] Nusdwinuringtyas et al, 2014; [09] Camarri et al. 2006; [40] Britto et al. 2013; [28] Ben Saad et al. 2009; [45] Kim et al. 2014","0.0835;-0.2756;0.6548;-0.1957;-0.1469;-0.3599;0.1984;-0.0154;-0.1699;0.0833;0.0835;0.206;-0.2564;0.1827;-0.4038;0.4557;0.425;-0.3475;0.4084;0.3898",671.768421052632,667.472606806462,1346.45402928106,0.234986495681715,-4.29581424616921,-124.655434837686,125.644646916069,46.0604705418918,60.6852041741846
677,"natalia_oliveira_2023",21,"[40] Britto et al. 2013; [42] Britto et al. 2013; [06] Gibbons et al. 2001; [04] Troosters, Gosselink & Decramer 1999; [58] Delbressine et al. 2023; [45] Kim et al. 2014; [20] Jenkins et al. 2009; [27] Alameri et al. 2009; [47] Nusdwinuringtyas et al, 2014; [34] Dourado, Vidotto, Guerra 2011; [18] Iwama et al. 2009; [07] Enrigth et al. 2003; [30] Osses et al. 2010; [15] Masmoudi et al. 2008; [10] Camarri et al. 2006; [50] Zou et al. 2017; [09] Camarri et al. 2006; [48] Fernandes et al. 2016; [02] Enright & Sherrill 1998; [32] Soares, Pereira 2011; [43] Rao et al. 2013","-0.2062;0.085;-0.1226;0.5975;-0.0548;0.2474;-0.1682;0.6779;0.653;-0.0583;-0.0204;0.0464;-0.2214;-0.146;-0.295;-0.4574;0.3374;-0.0853;1.1095;-0.4469;-0.4716",675.936842105263,656.67160703589,1229.01906780916,0.252290417175246,-19.2652350693733,-136.439928701564,118.752709390485,52.4871400798736,68.5011750361484
801,"natalia_oliveira_2023",22,"[43] Rao et al. 2013; [09] Camarri et al. 2006; [50] Zou et al. 2017; [10] Camarri et al. 2006; [13] Chetta et al. 2006; [32] Soares, Pereira 2011; [27] Alameri et al. 2009; [28] Ben Saad et al. 2009; [45] Kim et al. 2014; [42] Britto et al. 2013; [04] Troosters, Gosselink & Decramer 1999; [47] Nusdwinuringtyas et al, 2014; [20] Jenkins et al. 2009; [58] Delbressine et al. 2023; [55] Almeida et al. 2019; [15] Masmoudi et al. 2008; [48] Fernandes et al. 2016; [18] Iwama et al. 2009; [40] Britto et al. 2013; [34] Dourado, Vidotto, Guerra 2011; [07] Enrigth et al. 2003; [37] Hill et al. 2011","-0.2482;0.1834;-0.2788;-0.3679;-0.5159;-0.1637;0.4836;0.3482;0.2012;0.2148;0.3545;0.0916;0.037;0.0645;0.1892;-0.0148;0.1203;0.1661;-0.294;0.1542;0.1036;0.1709",676.71052631579,691.142384946175,1574.96402098286,0.261919660404893,14.4318586303853,-121.488442846905,151.227117710498,49.8622797788324,66.0552912510005
195,"natalia_oliveira_2023",23,"[37] Hill et al. 2011; [18] Iwama et al. 2009; [34] Dourado, Vidotto, Guerra 2011; [15] Masmoudi et al. 2008; [45] Kim et al. 2014; [04] Troosters, Gosselink & Decramer 1999; [26] Jenkins et al. 2009; [09] Camarri et al. 2006; [27] Alameri et al. 2009; [50] Zou et al. 2017; [02] Enright & Sherrill 1998; [28] Ben Saad et al. 2009; [54] Almeida et al. 2019; [55] Almeida et al. 2019; [30] Osses et al. 2010; [43] Rao et al. 2013; [47] Nusdwinuringtyas et al, 2014; [42] Britto et al. 2013; [06] Gibbons et al. 2001; [40] Britto et al. 2013; [48] Fernandes et al. 2016; [58] Delbressine et al. 2023; [20] Jenkins et al. 2009","-0.0368;0.0876;0.0717;-0.0944;0.1447;0.1351;-0.0226;0.189;0.383;-0.3007;0.5814;0.2348;-0.1317;0.2308;-0.0384;-0.266;0.1389;0.2899;-0.2842;-0.2501;0.0398;-0.0454;-0.0565",672.426315789474,649.880071695006,1478.20017865408,0.339830574445989,-22.5462440944677,-129.079555370403,80.1928887723087,48.8441971778113,60.1051100147044
489,"natalia_oliveira_2023",24,"[27] Alameri et al. 2009; [04] Troosters, Gosselink & Decramer 1999; [13] Chetta et al. 2006; [09] Camarri et al. 2006; [47] Nusdwinuringtyas et al, 2014; [40] Britto et al. 2013; [50] Zou et al. 2017; [45] Kim et al. 2014; [37] Hill et al. 2011; [55] Almeida et al. 2019; [07] Enrigth et al. 2003; [15] Masmoudi et al. 2008; [42] Britto et al. 2013; [48] Fernandes et al. 2016; [28] Ben Saad et al. 2009; [43] Rao et al. 2013; [34] Dourado, Vidotto, Guerra 2011; [02] Enright & Sherrill 1998; [18] Iwama et al. 2009; [32] Soares, Pereira 2011; [26] Jenkins et al. 2009; [10] Camarri et al. 2006; [30] Osses et al. 2010; [58] Delbressine et al. 2023","0.5481;0.1606;-0.6017;0.3552;0.1214;-0.4519;-0.2129;0.273;0.0745;0.1059;-0.024;-0.1232;0.2369;0.0951;0.5614;-0.2115;0.0654;0.6984;0.1364;-0.2362;-0.0314;-0.4513;-0.0366;-0.0515",677.678947368421,660.757120806755,1572.41397759051,0.307236315478592,-16.9218265616656,-132.651155489033,83.0304657713979,47.6931060840427,62.4822404006389
70,"natalia_oliveira_2023",25,"[18] Iwama et al. 2009; [34] Dourado, Vidotto, Guerra 2011; [27] Alameri et al. 2009; [30] Osses et al. 2010; [04] Troosters, Gosselink & Decramer 1999; [50] Zou et al. 2017; [42] Britto et al. 2013; [47] Nusdwinuringtyas et al, 2014; [48] Fernandes et al. 2016; [10] Camarri et al. 2006; [55] Almeida et al. 2019; [40] Britto et al. 2013; [43] Rao et al. 2013; [02] Enright & Sherrill 1998; [54] Almeida et al. 2019; [32] Soares, Pereira 2011; [37] Hill et al. 2011; [15] Masmoudi et al. 2008; [07] Enrigth et al. 2003; [28] Ben Saad et al. 2009; [45] Kim et al. 2014; [20] Jenkins et al. 2009; [58] Delbressine et al. 2023; [13] Chetta et al. 2006; [09] Camarri et al. 2006","0.2036;0.0736;0.5933;-0.0951;0.2667;-0.2826;0.2295;0.2484;0.1367;-0.3938;0.1352;-0.4475;-0.2533;0.8831;-0.2347;-0.2426;0.0709;-0.1644;-0.0394;0.5091;0.2801;-0.0515;-0.0906;-0.6278;0.293",667.084210526316,646.271754172892,1659.72278671564,0.300230164357414,-20.8124563534234,-148.21426608913,97.8786234934463,53.2972841198829,68.2289622034282
86,"natalia_oliveira_2023",26,"[40] Britto et al. 2013; [27] Alameri et al. 2009; [30] Osses et al. 2010; [45] Kim et al. 2014; [48] Fernandes et al. 2016; [18] Iwama et al. 2009; [42] Britto et al. 2013; [32] Soares, Pereira 2011; [10] Camarri et al. 2006; [47] Nusdwinuringtyas et al, 2014; [06] Gibbons et al. 2001; [13] Chetta et al. 2006; [58] Delbressine et al. 2023; [37] Hill et al. 2011; [04] Troosters, Gosselink & Decramer 1999; [43] Rao et al. 2013; [15] Masmoudi et al. 2008; [26] Jenkins et al. 2009; [54] Almeida et al. 2019; [28] Ben Saad et al. 2009; [02] Enright & Sherrill 1998; [09] Camarri et al. 2006; [55] Almeida et al. 2019; [50] Zou et al. 2017; [07] Enrigth et al. 2003; [20] Jenkins et al. 2009","-0.1581;0.432;0.0386;0.1532;0.0876;0.1228;0.3563;-0.1389;-0.2762;0.2804;-0.3419;-0.4613;-0.027;0.0253;0.0484;-0.2665;-0.0801;0.0754;-0.1344;0.4352;0.5091;0.4102;0.1711;-0.2901;-0.0333;0.0621",668.884210526316,637.694352819821,1129.68746068539,0.279795830240911,-31.1898577064948,-137.794550321135,69.6589098927388,50.8237936744504,64.0014431063243
318,"natalia_oliveira_2023",27,"[04] Troosters, Gosselink & Decramer 1999; [58] Delbressine et al. 2023; [32] Soares, Pereira 2011; [07] Enrigth et al. 2003; [37] Hill et al. 2011; [18] Iwama et al. 2009; [43] Rao et al. 2013; [06] Gibbons et al. 2001; [20] Jenkins et al. 2009; [13] Chetta et al. 2006; [10] Camarri et al. 2006; [54] Almeida et al. 2019; [26] Jenkins et al. 2009; [48] Fernandes et al. 2016; [47] Nusdwinuringtyas et al, 2014; [15] Masmoudi et al. 2008; [50] Zou et al. 2017; [55] Almeida et al. 2019; [45] Kim et al. 2014; [09] Camarri et al. 2006; [40] Britto et al. 2013; [34] Dourado, Vidotto, Guerra 2011; [28] Ben Saad et al. 2009; [02] Enright & Sherrill 1998; [42] Britto et al. 2013; [30] Osses et al. 2010; [27] Alameri et al. 2009","0.2862;-2e-04;-0.2425;0.0443;0.1076;0.1715;-0.2539;-0.3516;-0.037;-0.4874;-0.4035;-0.2397;0.0028;0.1147;0.4527;-0.0606;-0.2931;0.1162;0.2357;0.196;-0.3035;0.0428;0.5769;0.6022;0.1755;-0.0515;0.5991",668.542105263158,606.217225097644,1889.3398188299,0.210219005175869,-62.3248801655142,-188.601111450599,61.307610759203,72.7875087028768,90.5185414710425
