"b","dataset","n_models","models","distance_meas","distance_est","bias","lower_CI","upper_CI"
4180,"natalia_oliveira_2023",11,"[29] Alameri et al. 2009; [45] Rao et al. 2013; [07] Enrigth et al. 2003; [06] Gibbons et al. 2001; [30] Ben Saad et al. 2009; [17] Masmoudi et al. 2008; [50] Fernandes et al. 2016; [13] Chetta et al. 2006; [10] Camarri et al. 2006; [36] Dourado, Vidotto, Guerra 2011; [54] Oliveira et al. 2019",447.463768115942,454.051879853551,6.58811173760942,-139.807110648044,122.553832167568
9847,"natalia_oliveira_2023",12,"[10] Camarri et al. 2006; [47] Kim et al. 2014; [42] Britto et al. 2013; [30] Ben Saad et al. 2009; [54] Oliveira et al. 2019; [50] Fernandes et al. 2016; [23] Jenkins et al. 2009; [36] Dourado, Vidotto, Guerra 2011; [45] Rao et al. 2013; [13] Chetta et al. 2006; [59] Delbressine et al. 2023; [06] Gibbons et al. 2001",461.101449275362,453.7356812344,-7.36576804096241,-102.446841383958,134.59995275932
2989,"natalia_oliveira_2023",13,"[50] Fernandes et al. 2016; [52] Zou et al. 2017; [10] Camarri et al. 2006; [17] Masmoudi et al. 2008; [07] Enrigth et al. 2003; [42] Britto et al. 2013; [13] Chetta et al. 2006; [36] Dourado, Vidotto, Guerra 2011; [16] Li et al. 2007; [47] Kim et al. 2014; [30] Ben Saad et al. 2009; [34] Soares, Pereira 2011; [06] Gibbons et al. 2001",435.666666666667,419.850242202131,-15.8164244645358,-137.649212687642,101.098468411046
6782,"natalia_oliveira_2023",14,"[06] Gibbons et al. 2001; [52] Zou et al. 2017; [44] Britto et al. 2013; [29] Alameri et al. 2009; [17] Masmoudi et al. 2008; [10] Camarri et al. 2006; [42] Britto et al. 2013; [04] Troosters, Gosselink & Decramer 1999; [13] Chetta et al. 2006; [23] Jenkins et al. 2009; [49] Nusdwinuringtyas et al, 2014; [54] Oliveira et al. 2019; [47] Kim et al. 2014; [36] Dourado, Vidotto, Guerra 2011",436.724637681159,441.446501267743,4.7218635865838,-126.261315330995,129.673257457946
4637,"natalia_oliveira_2023",15,"[47] Kim et al. 2014; [13] Chetta et al. 2006; [36] Dourado, Vidotto, Guerra 2011; [17] Masmoudi et al. 2008; [50] Fernandes et al. 2016; [16] Li et al. 2007; [29] Alameri et al. 2009; [23] Jenkins et al. 2009; [10] Camarri et al. 2006; [52] Zou et al. 2017; [32] Osses et al. 2010; [42] Britto et al. 2013; [44] Britto et al. 2013; [06] Gibbons et al. 2001; [49] Nusdwinuringtyas et al, 2014",446.420289855072,415.060196130851,-31.3600937242219,-157.11283104896,98.5319500369328
5990,"natalia_oliveira_2023",16,"[42] Britto et al. 2013; [47] Kim et al. 2014; [29] Alameri et al. 2009; [52] Zou et al. 2017; [27] Jenkins et al. 2009; [17] Masmoudi et al. 2008; [44] Britto et al. 2013; [50] Fernandes et al. 2016; [04] Troosters, Gosselink & Decramer 1999; [32] Osses et al. 2010; [30] Ben Saad et al. 2009; [06] Gibbons et al. 2001; [10] Camarri et al. 2006; [36] Dourado, Vidotto, Guerra 2011; [16] Li et al. 2007; [45] Rao et al. 2013",440.086956521739,423.817099268345,-16.2698572533938,-129.272515646652,108.406660366804
9316,"natalia_oliveira_2023",17,"[59] Delbressine et al. 2023; [42] Britto et al. 2013; [47] Kim et al. 2014; [02] Enright & Sherrill 1998; [27] Jenkins et al. 2009; [13] Chetta et al. 2006; [04] Troosters, Gosselink & Decramer 1999; [52] Zou et al. 2017; [36] Dourado, Vidotto, Guerra 2011; [06] Gibbons et al. 2001; [30] Ben Saad et al. 2009; [54] Oliveira et al. 2019; [29] Alameri et al. 2009; [49] Nusdwinuringtyas et al, 2014; [10] Camarri et al. 2006; [50] Fernandes et al. 2016; [39] Hill et al. 2011",452.420289855072,391.527773670276,-60.892516184796,-176.483052775568,65.7083615756496
3668,"natalia_oliveira_2023",18,"[04] Troosters, Gosselink & Decramer 1999; [39] Hill et al. 2011; [44] Britto et al. 2013; [50] Fernandes et al. 2016; [23] Jenkins et al. 2009; [13] Chetta et al. 2006; [47] Kim et al. 2014; [16] Li et al. 2007; [29] Alameri et al. 2009; [49] Nusdwinuringtyas et al, 2014; [54] Oliveira et al. 2019; [30] Ben Saad et al. 2009; [17] Masmoudi et al. 2008; [42] Britto et al. 2013; [32] Osses et al. 2010; [36] Dourado, Vidotto, Guerra 2011; [06] Gibbons et al. 2001; [10] Camarri et al. 2006",440.985507246377,387.380450504475,-53.6050567419013,-159.621122474676,75.6697762554225
9500,"natalia_oliveira_2023",19,"[54] Oliveira et al. 2019; [17] Masmoudi et al. 2008; [44] Britto et al. 2013; [42] Britto et al. 2013; [13] Chetta et al. 2006; [23] Jenkins et al. 2009; [47] Kim et al. 2014; [49] Nusdwinuringtyas et al, 2014; [36] Dourado, Vidotto, Guerra 2011; [02] Enright & Sherrill 1998; [50] Fernandes et al. 2016; [27] Jenkins et al. 2009; [30] Ben Saad et al. 2009; [04] Troosters, Gosselink & Decramer 1999; [29] Alameri et al. 2009; [06] Gibbons et al. 2001; [10] Camarri et al. 2006; [07] Enrigth et al. 2003; [32] Osses et al. 2010",436.68115942029,369.818599162187,-66.8625602581033,-212.270773863537,48.3951490391123
3928,"natalia_oliveira_2023",20,"[16] Li et al. 2007; [29] Alameri et al. 2009; [13] Chetta et al. 2006; [17] Masmoudi et al. 2008; [10] Camarri et al. 2006; [30] Ben Saad et al. 2009; [32] Osses et al. 2010; [04] Troosters, Gosselink & Decramer 1999; [49] Nusdwinuringtyas et al, 2014; [52] Zou et al. 2017; [50] Fernandes et al. 2016; [42] Britto et al. 2013; [23] Jenkins et al. 2009; [36] Dourado, Vidotto, Guerra 2011; [07] Enrigth et al. 2003; [54] Oliveira et al. 2019; [44] Britto et al. 2013; [06] Gibbons et al. 2001; [20] Iwama et al. 2009; [45] Rao et al. 2013",449.449275362319,371.244889178083,-78.2043861842356,-194.282250699889,36.3311576991068
8001,"natalia_oliveira_2023",21,"[29] Alameri et al. 2009; [23] Jenkins et al. 2009; [44] Britto et al. 2013; [06] Gibbons et al. 2001; [50] Fernandes et al. 2016; [42] Britto et al. 2013; [47] Kim et al. 2014; [30] Ben Saad et al. 2009; [10] Camarri et al. 2006; [17] Masmoudi et al. 2008; [49] Nusdwinuringtyas et al, 2014; [02] Enright & Sherrill 1998; [52] Zou et al. 2017; [34] Soares, Pereira 2011; [45] Rao et al. 2013; [36] Dourado, Vidotto, Guerra 2011; [59] Delbressine et al. 2023; [13] Chetta et al. 2006; [04] Troosters, Gosselink & Decramer 1999; [07] Enrigth et al. 2003; [54] Oliveira et al. 2019",421.202898550725,361.508813700449,-59.6940848502755,-155.376242926402,43.2795888386025
2161,"natalia_oliveira_2023",22,"[44] Britto et al. 2013; [27] Jenkins et al. 2009; [29] Alameri et al. 2009; [07] Enrigth et al. 2003; [02] Enright & Sherrill 1998; [13] Chetta et al. 2006; [50] Fernandes et al. 2016; [54] Oliveira et al. 2019; [16] Li et al. 2007; [52] Zou et al. 2017; [42] Britto et al. 2013; [49] Nusdwinuringtyas et al, 2014; [10] Camarri et al. 2006; [23] Jenkins et al. 2009; [30] Ben Saad et al. 2009; [17] Masmoudi et al. 2008; [32] Osses et al. 2010; [06] Gibbons et al. 2001; [04] Troosters, Gosselink & Decramer 1999; [47] Kim et al. 2014; [45] Rao et al. 2013; [36] Dourado, Vidotto, Guerra 2011",432.782608695652,357.116966906322,-75.6656417893302,-219.521149859916,46.6766969133484
414,"natalia_oliveira_2023",23,"[30] Ben Saad et al. 2009; [07] Enrigth et al. 2003; [13] Chetta et al. 2006; [36] Dourado, Vidotto, Guerra 2011; [42] Britto et al. 2013; [59] Delbressine et al. 2023; [17] Masmoudi et al. 2008; [32] Osses et al. 2010; [47] Kim et al. 2014; [06] Gibbons et al. 2001; [44] Britto et al. 2013; [50] Fernandes et al. 2016; [16] Li et al. 2007; [29] Alameri et al. 2009; [49] Nusdwinuringtyas et al, 2014; [54] Oliveira et al. 2019; [27] Jenkins et al. 2009; [10] Camarri et al. 2006; [34] Soares, Pereira 2011; [04] Troosters, Gosselink & Decramer 1999; [45] Rao et al. 2013; [23] Jenkins et al. 2009; [52] Zou et al. 2017",440.231884057971,356.017309947095,-84.2145741108761,-174.012157493581,34.7449914878973
2488,"natalia_oliveira_2023",24,"[50] Fernandes et al. 2016; [02] Enright & Sherrill 1998; [49] Nusdwinuringtyas et al, 2014; [06] Gibbons et al. 2001; [13] Chetta et al. 2006; [32] Osses et al. 2010; [10] Camarri et al. 2006; [17] Masmoudi et al. 2008; [45] Rao et al. 2013; [54] Oliveira et al. 2019; [04] Troosters, Gosselink & Decramer 1999; [30] Ben Saad et al. 2009; [42] Britto et al. 2013; [59] Delbressine et al. 2023; [47] Kim et al. 2014; [23] Jenkins et al. 2009; [36] Dourado, Vidotto, Guerra 2011; [29] Alameri et al. 2009; [44] Britto et al. 2013; [16] Li et al. 2007; [34] Soares, Pereira 2011; [27] Jenkins et al. 2009; [07] Enrigth et al. 2003; [52] Zou et al. 2017",441.04347826087,344.966171777663,-96.0773064832064,-200.616821517587,18.80064052839
6097,"natalia_oliveira_2023",25,"[44] Britto et al. 2013; [20] Iwama et al. 2009; [59] Delbressine et al. 2023; [34] Soares, Pereira 2011; [27] Jenkins et al. 2009; [49] Nusdwinuringtyas et al, 2014; [13] Chetta et al. 2006; [45] Rao et al. 2013; [07] Enrigth et al. 2003; [36] Dourado, Vidotto, Guerra 2011; [23] Jenkins et al. 2009; [29] Alameri et al. 2009; [47] Kim et al. 2014; [06] Gibbons et al. 2001; [16] Li et al. 2007; [32] Osses et al. 2010; [02] Enright & Sherrill 1998; [42] Britto et al. 2013; [52] Zou et al. 2017; [30] Ben Saad et al. 2009; [50] Fernandes et al. 2016; [54] Oliveira et al. 2019; [17] Masmoudi et al. 2008; [04] Troosters, Gosselink & Decramer 1999; [10] Camarri et al. 2006",430.623188405797,321.477334841049,-109.145853564748,-220.067916896982,5.53510034343441
9041,"natalia_oliveira_2023",26,"[10] Camarri et al. 2006; [44] Britto et al. 2013; [02] Enright & Sherrill 1998; [47] Kim et al. 2014; [32] Osses et al. 2010; [23] Jenkins et al. 2009; [42] Britto et al. 2013; [16] Li et al. 2007; [06] Gibbons et al. 2001; [36] Dourado, Vidotto, Guerra 2011; [52] Zou et al. 2017; [50] Fernandes et al. 2016; [27] Jenkins et al. 2009; [49] Nusdwinuringtyas et al, 2014; [17] Masmoudi et al. 2008; [04] Troosters, Gosselink & Decramer 1999; [45] Rao et al. 2013; [30] Ben Saad et al. 2009; [20] Iwama et al. 2009; [13] Chetta et al. 2006; [59] Delbressine et al. 2023; [07] Enrigth et al. 2003; [54] Oliveira et al. 2019; [29] Alameri et al. 2009; [34] Soares, Pereira 2011; [39] Hill et al. 2011",430.855072463768,302.68248086756,-128.172591596208,-264.447396172944,-16.754552606474
